postal_code,lat,lng
K0A1K9,NA,NA
K0A1L9,NA,NA
K0A1Z0,NA,NA
K0A2B0,NA,NA
K0A2C0,NA,NA
K0A2J0,NA,NA
K0A2L0,NA,NA
K0A2P2,NA,NA
K0A2S0,NA,NA
K0A2T3,NA,NA
K0A2W8,NA,NA
K0A2Z1,NA,NA
K0A3G0,NA,NA
K0A3G1,NA,NA
K0A3P1,NA,NA
K1A0A0,NA,NA
K1A0Y4,NA,NA
K1A1A0,NA,NA
K1A1K0,NA,NA
K1A1N0,NA,NA
K1A1T7,NA,NA
K1B0B5,NA,NA
K1B0X7,NA,NA
K1B1A3,45.43278240000001,-75.5612352
K1B1G0,NA,NA
K1B1K6,NA,NA
K1B1L2,NA,NA
K1B1N7,NA,NA
K1B1V3,NA,NA
K1B4X1,45.4300992,-75.5660389
K1B5B0,NA,NA
K1B5N9,NA,NA
K1B5P9,45.4318362,-75.5626284
K1B5S2,NA,NA
K1B5T2,NA,NA
K1B5V7,NA,NA
K1C0G5,NA,NA
K1C0N1,NA,NA
K1C1K7,NA,NA
K1C1S7,NA,NA
K1C1S9,NA,NA
K1C1W0,NA,NA
K1C2K0,NA,NA
K1C3E2,45.4782311,-75.53639679999999
K1C3E4,45.47780849999999,-75.5366149
K1C3K9,NA,NA
K1C3L5,NA,NA
K1C3L7,NA,NA
K1C3L9,NA,NA
K1C3P2,NA,NA
K1C3R1,NA,NA
K1C3V1,NA,NA
K1C3W2,NA,NA
K1C3Y5,NA,NA
K1C4C6,NA,NA
K1C4E4,NA,NA
K1C4G8,NA,NA
K1C4H7,NA,NA
K1C4H9,NA,NA
K1C4J7,NA,NA
K1C4K5,NA,NA
K1C4K6,NA,NA
K1C4L1,NA,NA
K1C4L5,NA,NA
K1C4L6,NA,NA
K1C4L7,NA,NA
K1C4M3,NA,NA
K1C4P9,NA,NA
K1C4R7,45.4817343,-75.5423031
K1C4S1,45.4812237,-75.5412557
K1C4S3,45.481465,-75.5432738
K1C4S5,45.4814552,-75.543052
K1C4S7,45.48150130000001,-75.54282649999999
K1C4T1,45.481523,-75.54241209999999
K1C4Z8,45.4633473,-75.52668779999999
K1C6E4,45.4513691,-75.5176537
K1C6S8,45.4518011,-75.5297257
K1C6S9,45.45147550000001,-75.5292387
K1C6T2,45.4510288,-75.52926780000001
K1C6T4,45.4526599,-75.52852659999999
K1C6T5,45.4519167,-75.5280033
K1C6T6,45.4521232,-75.5281486
K1C7A6,45.4602376,-75.5096556
K1C7A7,NA,NA
K1C7H4,45.4593686,-75.52465959999999
K1C7H8,45.4799718,-75.5369355
K1C7I8,NA,NA
K1C7K2,45.46463199999999,-75.54159750000001
K1C8H1,NA,NA
K1E0L9,NA,NA
K1E1E0,NA,NA
K1E2Z8,NA,NA
K1E3A3,NA,NA
K1E3B5,NA,NA
K1E3C1,NA,NA
K1E3C2,NA,NA
K1E3W4,45.465874,-75.49538199999999
K1E3Y3,45.48354339999999,-75.5024842
K1G1J0,NA,NA
K1G1K0,NA,NA
K1G1S0,NA,NA
K1G2P0,NA,NA
K1G3H6,45.4123936,-75.6566531
K1G3H8,45.4123936,-75.6566531
K1G3J1,45.4123936,-75.6566531
K1G3J7,NA,NA
K1G3K4,NA,NA
K1G3M2,NA,NA
K1G3N3,NA,NA
K1G3N5,NA,NA
K1G3N7,NA,NA
K1G3T8,45.4123936,-75.6566531
K1G3T9,45.4123936,-75.6566531
K1G3V1,45.4123936,-75.6566531
K1G3V2,45.4123936,-75.6566531
K1G3Z5,NA,NA
K1G4V1,NA,NA
K1G4V6,45.3708766,-75.6209909
K1G4V8,45.3707644,-75.6224536
K1G4W1,45.3703234,-75.6222281
K1G4W2,45.3700912,-75.62129329999999
K1G4W3,45.3704307,-75.6210188
K1G4Y9,NA,NA
K1G5B5,45.3690515,-75.6161053
K1G5B8,45.3693541,-75.61700400000001
K1G5B9,45.36907290000001,-75.6171483
K1G5C1,45.3684452,-75.6172193
K1G5C2,45.3686781,-75.61669839999999
K1G5K9,45.40052559999999,-75.6242646
K1G5R1,45.36624399999999,-75.6187497
K1G5R5,45.3673204,-75.6177963
K1G5S1,NA,NA
K1G5T7,45.4089773,-75.6574966
K1G6B7,45.4172325,-75.6346899
K1G6F6,NA,NA
K1G6Z9,NA,NA
K1H0A5,NA,NA
K1H0G6,NA,NA
K1H0M8,NA,NA
K1H1A1,45.3855294,-75.6793137
K1H1G0,NA,NA
K1H1G7,NA,NA
K1H1R5,NA,NA
K1H2B8,NA,NA
K1J0C5,45.4303418,-75.6109458
K1J0C6,NA,NA
K1J0G9,NA,NA
K1J0H7,NA,NA
K1J0K3,NA,NA
K1J0T4,NA,NA
K1J0V6,NA,NA
K1J1K0,NA,NA
K1J1L7,NA,NA
K1J1T0,NA,NA
K1J1X3,NA,NA
K1J6B7,NA,NA
K1J6M4,NA,NA
K1J8M0,45.45156,-75.59769
K1J8Y2,NA,NA
K1J9G9,45.4632509,-75.5792817
K1J9L9,45.4524196,-75.59723199999999
K1J9M7,45.4524196,-75.59723199999999
K1J9R7,NA,NA
K1K0A1,45.458538,-75.62679469999999
K1K0A2,NA,NA
K1K0J2,NA,NA
K1K0K8,NA,NA
K1K0K9,45.4547985,-75.6269007
K1K0L3,NA,NA
K1K0L4,NA,NA
K1K0L5,NA,NA
K1K0L6,NA,NA
K1K0M1,NA,NA
K1K0N3,NA,NA
K1K0N4,NA,NA
K1K0N5,NA,NA
K1K0P1,45.4504376,-75.627426
K1K0P2,45.4520097,-75.62973819999999
K1K0P5,NA,NA
K1K0P9,NA,NA
K1K0R8,45.4461709,-75.6486157
K1K0X5,NA,NA
K1K1S0,NA,NA
K1K1V1,45.44421879999999,-75.6345346
K1K2C4,45.4209733,-75.64282109999999
K1K2E1,45.4519358,-75.6221316
K1K2E2,NA,NA
K1K2E4,NA,NA
K1K2H5,NA,NA
K1K2H7,NA,NA
K1K2H8,NA,NA
K1K2H9,NA,NA
K1K2J1,NA,NA
K1K2J2,NA,NA
K1K2J7,NA,NA
K1K2N0,45.44175000000001,-75.64608009999999
K1K2T8,45.4538038,-75.6490326
K1K2V6,45.4515829,-75.6513253
K1K2W0,NA,NA
K1K3X5,45.4439576,-75.64773799999999
K1K4E3,45.4467088,-75.62702399999999
K1K4G6,45.4226414,-75.6570361
K1K4J3,45.44189129999999,-75.6450763
K1K4J4,45.44189129999999,-75.6450763
K1K4K4,45.442678,-75.64477409999999
K1K4K6,45.4537635,-75.6510642
K1K4L8,45.4228767,-75.6374757
K1K4N0,NA,NA
K1K4P3,45.4463822,-75.6294542
K1L0K4,NA,NA
K1L0R8,NA,NA
K1L1A1,45.436345,-75.6603758
K1L1C2,NA,NA
K1L1E8,NA,NA
K1L1G8,NA,NA
K1L1K8,NA,NA
K1L1L0,NA,NA
K1L1L3,NA,NA
K1L1M6,NA,NA
K1L1R8,NA,NA
K1L5C4,45.4436298,-75.65720309999999
K1L6N9,45.4321174,-75.65429879999999
K1L7Y5,NA,NA
K1L8C4,45.4290572,-75.6679187
K1L8E4,45.4355633,-75.6659999
K1L8E7,45.4306534,-75.66338619999999
K1L8M4,NA,NA
K1M0E7,45.448197,-75.6838593
