POSTALCODE,ONS_ID
K1B1A3,904
K1B4X1,904
K1B5P9,904
K1C3E2,915
K1C3E4,915
K1C4R7,915
K1C4S1,915
K1C4S3,915
K1C4S5,915
K1C4S7,915
K1C4T1,915
K1C4Z8,939
K1C6E4,939
K1C6S8,913
K1C6S9,913
K1C6T2,913
K1C6T4,913
K1C6T5,913
K1C6T6,913
K1C7A6,939
K1C7H4,939
K1C7H8,915
K1C7K2,77
K1E3W4,943
K1E3Y3,943
K1G3H6,917
K1G3H8,917
K1G3J1,917
K1G3T8,917
K1G3T9,917
K1G3V1,917
K1G3V2,917
K1G4V6,50
K1G4V8,50
K1G4W1,50
K1G4W2,50
K1G4W3,50
K1G5B5,50
K1G5B8,50
K1G5B9,50
K1G5C1,50
K1G5C2,50
K1G5K9,919
K1G5R1,50
K1G5R5,50
K1G5T7,947
K1G6B7,940
K1H1A1,903
K1J0C5,912
K1J8M0,93
K1J9G9,926
K1J9L9,93
K1J9M7,93
K1K0A1,956
K1K0K9,956
K1K0P1,956
K1K0P2,956
K1K0R8,935
K1K1V1,912
K1K2C4,940
K1K2E1,956
K1K2N0,935
K1K2T8,935
K1K2V6,935
K1K3X5,935
K1K4E3,912
K1K4G6,940
K1K4J3,935
K1K4J4,935
K1K4K4,935
K1K4K6,935
K1K4L8,940
K1K4P3,912
K1L1A1,954
K1L5C4,953
K1L6N9,954
K1L8C4,940
K1L8E4,953
K1L8E7,940
K1M0E7,948
K1M0E8,948
K1M0E9,948
K1M0G1,948
K1M0S8,948
K1M2H9,933
K1N1A3,949
K1N1C5,949
K1N1C9,949
K1N5K8,934
K1N6A9,949
K1N6V1,949
K1N6V3,949
K1N7R6,949
K1N8V3,949
K1N8V4,949
K1N8V5,949
K1N9A6,949
K1N9A7,949
K1N9H1,949
K1N9H8,934
K1N9N5,949
K1N9P4,949
K1P1A1,24
K1P1B1,24
K1P5A0,24
K1P5P6,24
K1P5P7,24
K1P5P9,24
K1P5R1,24
K1P5R2,24
K1P5W4,24
K1P6C3,24
K1P6C4,24
K1R0A4,24
K1R1A1,957
K1R5E6,24
K1R5E9,24
K1R7E2,957
K1R7E3,957
K1R7E4,957
K1R7H9,957
K1R7S9,24
K1R7Z1,24
K1S1C1,82
K1S5B3,923
K1S5B4,923
K1S5H8,923
K1S5H9,923
K1S5J1,923
K1S5N1,83
K1S5N2,83
