POSTALCODE,ONS_ID,value
K0A1B0,3075,1
K0A1V0,3039,1
K0A1K0,3039,1
K0A2P0,3011,1.283371488785403e-4
K0A2P0,3044,0.014260271489532043
K0A2P0,3049,5.687094518122605e-4
K0A2P0,3073,0.9800615498139189
K0A2P0,3086,0.0049811320958582815
K0A2W0,3086,1
K0A3H0,3113,1
K0A3E0,3037,0.07284805975468775
K0A3E0,3076,0.9271519402453122
K0A2G0,3073,1
K0A3J0,3086,1
K0A1E0,3101,1
K0A1T0,3038,1
K0A2E0,3070,0.1442193497016065
K0A2E0,3078,0.8557806502983936
K0A3M0,3031,0.5739911369497462
K0A3M0,3038,0.025353394776455217
K0A3M0,3046,0.40065546827379855
K0A1L0,3021,0.49560298206171643
K0A1L0,3033,0.46839397808801453
K0A1L0,3062,0.023257540326941613
K0A1L0,3108,0.012745499523327474
K0A2H0,3062,1
K0A1X0,3046,1
K0A2Z0,3027,0.0011093102237627775
K0A2Z0,3074,0.8784743243220383
K0A2Z0,3075,0.109910940266372
K0A2Z0,3109,0.010505425187826904
K0A3P0,3075,1
K0A2T0,3071,0.3891455862733413
K0A2T0,3078,0.6108544137266587
K0A2Y0,3010,1
K0G1J0,3071,2.461572206685944e-4
K0G1J0,3078,0.6125757104384243
K0G1J0,3086,0.3871781323409071
K0G1B0,3071,1
K1A0R6,3022,1
K1B1C2,3010,1
K1B1C3,3010,1
K1B1B4,3089,1
K1B3A3,3010,1
K1B1E2,3010,1
K1B1C7,3089,1
K1B1C8,3089,1
K1B1B9,3089,1
K1B3B8,3010,1
K1B3B7,3010,1
K1B0A4,3089,1
K1B0A5,3089,1
K1B0A6,3089,1
K1B1C6,3089,1
K1B3A6,3010,1
K1B3B3,3010,1
K1B3A9,3010,1
K1B3A8,3010,1
K1B3B6,3010,1
K1B3B4,3010,1
K1B3B1,3010,1
K1B3B2,3010,1
K1B3A7,3010,1
K1B3A1,3010,0.904073016225953
K1B3A1,3050,0.09592698377404696
